Trade #,Data,Hora,Direção,Contratos,PnL Bruto,Comissões,PnL Líquido
1,2025-10-01,03:26:00,SHORT,0,-2.0,0.0,-2.0
2,2025-10-01,03:29:00,SHORT,0,0.0,0.0,0.0
3,2025-10-01,03:38:00,SHORT,0,-1.5,0.0,-1.5
4,2025-10-01,03:55:00,SHORT,0,-3.25,0.0,-3.25
5,2025-10-01,04:18:00,SHORT,0,6.5,0.0,6.5
6,2025-10-01,04:32:00,SHORT,0,-0.25,0.0,-0.25
7,2025-10-01,04:42:00,SHORT,0,-3.0,0.0,-3.0
8,2025-10-01,04:52:00,SHORT,0,-4.75,0.0,-4.75
9,2025-10-01,05:05:00,SHORT,0,-1.5,0.0,-1.5
10,2025-10-01,05:12:00,SHORT,0,-2.25,0.0,-2.25
11,2025-10-01,05:15:00,SHORT,0,-1.75,0.0,-1.75
12,2025-10-01,05:39:00,SHORT,0,-0.75,0.0,-0.75
13,2025-10-01,05:57:00,SHORT,0,2.5,0.0,2.5
14,2025-10-01,06:12:00,SHORT,0,-8.25,0.0,-8.25
15,2025-10-01,06:39:00,SHORT,0,-5.75,0.0,-5.75
16,2025-10-01,07:08:00,SHORT,0,-14.0,0.0,-14.0
17,2025-10-01,07:10:00,SHORT,0,-4.75,0.0,-4.75
18,2025-10-01,07:22:00,SHORT,0,-6.75,0.0,-6.75
19,2025-10-01,07:37:00,SHORT,0,2.0,0.0,2.0
20,2025-10-01,08:04:00,SHORT,0,-8.25,0.0,-8.25
21,2025-10-01,08:12:00,SHORT,0,-8.25,0.0,-8.25
22,2025-10-01,08:17:00,SHORT,0,-3.5,0.0,-3.5
23,2025-10-01,08:21:00,SHORT,0,-7.75,0.0,-7.75
24,2025-10-01,08:25:00,SHORT,0,-7.5,0.0,-7.5
25,2025-10-01,08:58:00,SHORT,0,51.5,0.0,51.5
26,2025-10-01,09:35:00,SHORT,0,15.25,0.0,15.25
27,2025-10-01,09:38:00,SHORT,0,-4.5,0.0,-4.5
28,2025-10-01,09:53:00,SHORT,0,-2.25,0.0,-2.25
29,2025-10-01,09:58:00,SHORT,0,-4.75,0.0,-4.75
30,2025-10-01,10:05:00,SHORT,0,0.5,0.0,0.5
31,2025-10-01,10:20:00,SHORT,0,0.25,0.0,0.25
32,2025-10-01,10:25:00,SHORT,0,-7.0,0.0,-7.0
33,2025-10-01,10:28:00,SHORT,0,-8.0,0.0,-8.0
34,2025-10-01,10:40:00,SHORT,0,-5.25,0.0,-5.25
35,2025-10-01,10:56:00,SHORT,0,-2.0,0.0,-2.0
36,2025-10-01,10:58:00,SHORT,0,-1.25,0.0,-1.25
37,2025-10-01,11:01:00,SHORT,0,-4.75,0.0,-4.75
38,2025-10-01,11:45:00,SHORT,0,42.0,0.0,42.0
39,2025-10-01,11:53:00,SHORT,0,3.5,0.0,3.5
40,2025-10-01,12:05:00,SHORT,0,6.5,0.0,6.5
41,2025-10-01,12:28:00,SHORT,0,-13.5,0.0,-13.5
42,2025-10-01,12:30:00,SHORT,0,-6.5,0.0,-6.5
43,2025-10-01,12:32:00,SHORT,0,-2.5,0.0,-2.5
44,2025-10-01,12:34:00,SHORT,0,-7.5,0.0,-7.5
45,2025-10-01,12:55:00,SHORT,0,-7.0,0.0,-7.0
46,2025-10-01,13:10:00,SHORT,0,-6.25,0.0,-6.25
47,2025-10-01,13:17:00,SHORT,0,-3.75,0.0,-3.75
48,2025-10-01,13:21:00,SHORT,0,-1.0,0.0,-1.0
49,2025-10-01,13:49:00,SHORT,0,-7.5,0.0,-7.5
50,2025-10-01,14:00:00,SHORT,0,-25.5,0.0,-25.5
51,2025-10-01,14:45:00,SHORT,0,94.75,0.0,94.75
52,2025-10-01,14:54:00,SHORT,0,-7.5,0.0,-7.5
53,2025-10-01,15:12:00,SHORT,0,-0.25,0.0,-0.25
54,2025-10-01,16:06:00,SHORT,0,37.75,0.0,37.75
55,2025-10-01,16:21:00,SHORT,0,-3.0,0.0,-3.0
56,2025-10-01,16:43:00,SHORT,0,-2.25,0.0,-2.25
57,2025-10-01,16:54:00,SHORT,0,-3.25,0.0,-3.25
58,2025-10-01,16:56:00,SHORT,0,-3.25,0.0,-3.25
59,2025-10-01,17:32:00,SHORT,0,34.75,0.0,34.75
60,2025-10-01,17:37:00,SHORT,0,-3.5,0.0,-3.5
61,2025-10-01,17:54:00,SHORT,0,-3.5,0.0,-3.5
62,2025-10-01,17:57:00,SHORT,0,-2.0,0.0,-2.0
63,2025-10-01,18:30:00,SHORT,0,33.0,0.0,33.0
64,2025-10-01,18:33:00,SHORT,0,-1.5,0.0,-1.5
65,2025-10-01,18:56:00,SHORT,0,7.0,0.0,7.0
66,2025-10-01,19:13:00,SHORT,0,-4.5,0.0,-4.5
67,2025-10-01,19:41:00,SHORT,0,-4.75,0.0,-4.75
68,2025-10-01,19:43:00,SHORT,0,-5.5,0.0,-5.5
69,2025-10-01,19:56:00,SHORT,0,-10.0,0.0,-10.0
70,2025-10-01,20:01:00,SHORT,0,-8.25,0.0,-8.25
71,2025-10-01,20:28:00,SHORT,0,-2.0,0.0,-2.0
72,2025-10-01,20:32:00,SHORT,0,-0.5,0.0,-0.5
73,2025-10-01,20:43:00,SHORT,0,1.5,0.0,1.5
74,2025-10-01,20:50:00,SHORT,0,-1.0,0.0,-1.0
75,2025-10-01,20:58:00,SHORT,0,-3.75,0.0,-3.75
76,2025-10-01,22:02:00,SHORT,0,-3.0,0.0,-3.0
77,2025-10-01,22:21:00,SHORT,0,5.75,0.0,5.75
78,2025-10-01,22:25:00,SHORT,0,-1.0,0.0,-1.0
79,2025-10-01,22:28:00,SHORT,0,0.0,0.0,0.0
80,2025-10-01,22:40:00,SHORT,0,-7.5,0.0,-7.5
81,2025-10-01,22:53:00,SHORT,0,-1.75,0.0,-1.75
82,2025-10-01,23:03:00,SHORT,0,-2.0,0.0,-2.0
